color;shade;number;distance
blue;light;1;0.47
blue;light;2;0.52
blue;light;3;0.575
blue;light;4;0.645
blue;light;5;0.66
blue;light;6;0.695
blue;light;7;0.73
blue;light;8;0.76
blue;light;9;0.785
blue;light;10;0.815
blue;dark;1;0.5
blue;dark;2;0.56
blue;dark;3;0.595
blue;dark;4;0.645
blue;dark;5;0.675
blue;dark;6;0.71
blue;dark;7;0.745
blue;dark;8;0.775
blue;dark;9;0.8
blue;dark;10;0.82
red;light;1;0.485
red;light;2;0.55
red;light;3;0.615
red;light;4;0.665
red;light;5;0.71
red;light;6;0.75
red;light;7;0.79
red;light;8;0.812
red;light;9;0.86
red;light;10;0.885
red;dark;1;0.52
red;dark;2;0.585
red;dark;3;0.63
red;dark;4;0.68
red;dark;5;0.73
red;dark;6;0.765
red;dark;7;0.81
red;dark;8;0.835
red;dark;9;0.875
red;dark;10;0.9
yellow;light;1;12.04
yellow;light;2;12.10
yellow;light;3;12.16
yellow;light;4;12.21
yellow;light;5;12.25
yellow;light;6;12.29
yellow;light;7;12.33
yellow;light;8;12.37
yellow;light;9;12.40
yellow;light;10;12.43
yellow;light;11;12.46
yellow;light;12;12.48
yellow;light;13;12.51
yellow;light;14;12.54
yellow;light;15;12.56
yellow;light;16;12.585
yellow;light;17;12.61
yellow;light;18;12.635
yellow;light;19;12.655
yellow;light;20;12.675
yellow;dark;1;12.07
yellow;dark;2;12.13
yellow;dark;3;12.18
yellow;dark;4;12.23
yellow;dark;5;12.27
yellow;dark;6;12.31
yellow;dark;7;12.35
yellow;dark;8;12.38
yellow;dark;9;12.41
yellow;dark;10;12.44
yellow;dark;11;12.47
yellow;dark;12;12.5
yellow;dark;13;12.53
yellow;dark;14;12.55
yellow;dark;15;12.57
yellow;dark;16;12.6
yellow;dark;17;12.625
yellow;dark;18;12.645
yellow;dark;19;12.665
yellow;dark;20;12.685
green;light;1;12.04
green;light;2;12.1
green;light;3;12.155
green;light;4;12.2
green;light;5;12.24
green;light;6;12.28
green;light;7;12.315
green;light;8;12.35
green;light;9;12.38
green;light;10;12.41
green;light;11;12.44
green;light;12;12.465
green;light;13;12.495
green;light;14;12.52
green;light;15;12.54
green;light;16;12.565
green;light;17;12.59
green;light;18;12.61
green;light;19;12.63
green;light;20;12.66
green;dark;1;12.06
green;dark;2;12.125
green;dark;3;12.175
green;dark;4;12.22
green;dark;5;12.26
green;dark;6;12.295
green;dark;7;12.33
green;dark;8;12.365
green;dark;9;12.395
green;dark;10;12.425
green;dark;11;12.455
green;dark;12;12.48
green;dark;13;12.505
green;dark;14;12.53
green;dark;15;12.55
green;dark;16;12.575
green;dark;17;12.6
green;dark;18;12.62
green;dark;19;12.643
green;dark;20;12.665
